# market, Major_market
"Jangle Pop","Alternative/Indie-Rock"
"Japanese Pop","Foreign Language Rock"
"Japanese Rock","Foreign Language Rock"
"Kraut Rock","Art-Rock/Experimental"
"L.A. Punk","Punk/New Wave"
"Latin Dance","Dance"
"Lo-Fi","Alternative/Indie-Rock"
"Madchester","Alternative/Indie-Rock"
"Math Rock","Alternative/Indie-Rock"
"Merseybeat","British Invasion"
"Mod","British Invasion"
"Mod Revival","Punk/New Wave"
"Neo-Classical Metal","Hard Rock"
"Neo-Glam","Alternative/Indie-Rock"
"Neo-Prog","Alternative/Indie-Rock"
"Neo-Psychedelia","Alternative/Indie-Rock"
"New Romantic","Punk/New Wave"
"New Wave","Punk/New Wave"
"New Wave of British Heavy Metal","Hard Rock"
"New Wave/Post-Punk Revival","Alternative/Indie-Rock"
"New York Punk","Punk/New Wave"
"New Zealand Rock","Alternative/Indie-Rock"
"No Wave","Punk/New Wave"
"Noise Pop","Alternative/Indie-Rock"
"Noise-Rock","Art-Rock/Experimental"
"Obscuro","Psychedlic/Garage"
"Oi!","Punk/New Wave"
"Paisley Underground","Alternative/Indie-Rock"
"Pop","Pop/Rock"
"Pop Underground","Alternative/Indie-Rock"
"Pop/Rock","Pop/Rock"
"Pop-Metal","Hard Rock"
"Post-Grunge","Alternative/Indie-Rock"
"Post-Hardcore","Alternative/Indie-Rock"
"Post-Punk","Punk/New Wave"
"Post-Rock/Experimental","Alternative/Indie-Rock"
"Power Metal","Hard Rock"
"Power Pop","Punk/New Wave"
"Progressive Metal","Hard Rock"
"Prog-Rock/Art Rock","Art-Rock/Experimental"
"Proto-Punk","Punk/New Wave"
"Psychedelic","Psychedlic/Garage"
"Psychedelic Pop","Psychedlic/Garage"
"Psychobilly","Alternative/Indie-Rock"
"Pub Rock","Rock & Roll/Roots"
"Punk","Punk/New Wave"
"Punk Blues","Alternative/Indie-Rock"
"Punk Metal","Hard Rock"
"Punk Revival","Alternative/Indie-Rock"
"Punk-Pop","Alternative/Indie-Rock"
"Queercore","Alternative/Indie-Rock"
"Rap-Metal","Hard Rock"
"Rap-Rock","Hard Rock"
"Rave","Dance"
"Retro-Rock","Rock & Roll/Roots"
"Riot Grrrl","Alternative/Indie-Rock"
"Rock &amp; Roll","Rock & Roll/Roots"
"Rock en Espa+â¦Æ+é-¦ol","Foreign Language Rock"
"Rockabilly","Rock & Roll/Roots"
"Rockabilly Revival","Rock & Roll/Roots"
"Roots Rock","Rock & Roll/Roots"
"Sadcore","Alternative/Indie-Rock"
"Scandinavian Metal","Hard Rock"
"Screamo","Alternative/Indie-Rock"
"Shibuya-Kei","Alternative/Indie-Rock"
"Shoegaze","Alternative/Indie-Rock"
"Singer/Songwriter","Folk/Country Rock"
"Ska Revival","Punk/New Wave"
"Ska-Punk","Alternative/Indie-Rock"
"Skatepunk","Alternative/Indie-Rock"
"Slowcore","Alternative/Indie-Rock"
"Sludge Metal","Hard Rock"
"Soft Rock","Soft Rock"
"Sophisti-Pop","Punk/New Wave"
"Southern Rock","Hard Rock"
"Space Rock","Alternative/Indie-Rock"
"Speed Metal","Hard Rock"
"Stoner Metal","Hard Rock"
"Straight-Edge","Punk/New Wave"
"Sunshine Pop","Pop/Rock"
"Surf","Rock & Roll/Roots"
"Surf Revival","Rock & Roll/Roots"
"Swamp Pop","Rock & Roll/Roots"
"Swedish Pop/Rock","Europop"
"Symphonic Black Metal","Hard Rock"
"Synth Pop","Punk/New Wave"
"Teen Idol","Pop/Rock"
"Teen Pop","Dance"
"Tex-Mex","Rock & Roll/Roots"
"Third Wave Ska Revival","Alternative/Indie-Rock"
"Thrash","Hard Rock"
"Twee Pop","Alternative/Indie-Rock"
"Urban","Dance"
