# year, no_of_titles, sub_style
"1997",36.00,"Alternative Pop/Rock"
"1997",2.00,"Southern Rock"
"1997",53.00,"House"
"1997",4.00,"Mod Revival"
"1997",3.00,"Euro-Rock"
"1997",1.00,"French Rock"
"1997",1.00,"Ska Revival"
"1997",1.00,"Retro-Rock"
"1997",1.00,"New Wave of British Heavy Metal"
"1997",4.00,"Dance-Pop"
"1997",3.00,"Grindcore"
"1997",2.00,"Merseybeat"
"1997",1.00,"Slowcore"
"1997",1.00,"Japanese Pop"
"1997",2.00,"C-86"
"1997",4.00,"Noise Pop"
"1997",4.00,"Sadcore"
"1997",1.00,"Psychedelic Pop"
"1997",2.00,"Skatepunk"
"1997",1.00,"Swedish Pop/Rock"
"1997",1.00,"L.A. Punk"
"1997",21.00,"Britpop"
"1997",1.00,"American Punk"
"1997",11.00,"Post-Rock/Experimental"
"1997",5.00,"Sunshine Pop"
"1997",4.00,"Funk Metal"
"1997",3.00,"New Romantic"
"1997",2.00,"Stoner Metal"
"1997",15.00,"Post-Grunge"
"1997",1.00,"Early British Pop/Rock"
"1997",5.00,"Avant-Prog"
"1997",5.00,"Neo-Psychedelia"
"1997",15.00,"Indie Electronic"
"1997",1.00,"Cocktail"
"1997",4.00,"Instrumental Rock"
"1997",2.00,"Singer/Songwriter"
"1997",6.00,"Girl Group"
"1997",1.00,"Hardcore Punk"
"1997",2.00,"Brill Building Pop"
"1997",1.00,"Canterbury Scene"
"1997",5.00,"British Invasion"
"1997",2.00,"Jam Bands"
"1997",10.00,"Soft Rock"
"1997",3.00,"British Folk-Rock"
"1997",1.00,"Goth Rock"
"1997",2.00,"Glam Rock"
"1997",3.00,"Euro-Pop"
"1997",18.00,"Pop/Rock"
"1997",9.00,"British Trad Rock"
"1997",4.00,"French Pop"
"1997",3.00,"Industrial Dance"
"1997",1.00,"New Zealand Rock"
"1997",1.00,"Foreign Language Rock"
"1997",3.00,"Twee Pop"
"1997",7.00,"Emo"
"1997",5.00,"Electro-Industrial"
"1997",8.00,"Ambient Pop"
"1997",1.00,"Japanese Rock"
"1997",10.00,"Urban"
"1998",14.00,"Britpop"
"1998",11.00,"Post-Rock/Experimental"
"1998",2.00,"Sophisti-Pop"
"1998",1.00,"Glitter"
"1998",2.00,"AM Pop"
"1998",1.00,"Bar Band"
"1998",1.00,"Cocktail"
"1998",8.00,"Rockabilly"
"1998",1.00,"Rockabilly Revival"
"1998",3.00,"Bubblegum"
"1998",1.00,"Euro-Rock"
"1998",5.00,"Psychedelic"
"1998",1.00,"Garage Punk"
"1998",2.00,"Rap-Rock"
"1998",5.00,"Goth Rock"
"1998",6.00,"Folk-Rock"
"1998",13.00,"Pop/Rock"
"1998",4.00,"French Pop"
"1998",12.00,"Experimental Rock"
"1998",2.00,"Baroque Pop"
"1998",2.00,"Math Rock"
"1998",9.00,"Blues-Rock"
"1998",1.00,"Swedish Pop/Rock"
"1998",2.00,"Post-Punk"
"1998",19.00,"Club/Dance"
"1998",3.00,"Rave"
"1998",4.00,"Hair Metal"
"1998",4.00,"Goth Metal"
"1998",5.00,"Alternative Country-Rock"
"1998",2.00,"Doom Metal"
"1998",7.00,"Symphonic Black Metal"
"1998",2.00,"British Metal"
"1998",4.00,"Punk Revival"
"1998",1.00,"Pop Underground"
"1998",6.00,"Pop"
"1998",3.00,"Punk Blues"
"1998",6.00,"Industrial"
"1998",23.00,"Adult Alternative Pop/Rock"
"1998",1.00,"Noise-Rock"
"1998",5.00,"Punk-Pop"
"1998",2.00,"Comedy Rock"
"1998",1.00,"Singer/Songwriter"
"1998",9.00,"Rock &amp; Roll"
"1998",10.00,"Hard Rock"
"1998",2.00,"Teen Idol"
"1998",5.00,"Thrash"
"1998",3.00,"Brill Building Pop"
"1998",8.00,"New Wave"
"1998",8.00,"Soft Rock"
"1998",2.00,"Frat Rock"
"1998",1.00,"Alternative Folk"
"1998",3.00,"Glam Rock"
"1998",1.00,"New Wave of British Heavy Metal"
"1998",6.00,"Hi-NRG"
"1998",1.00,"Latin Dance"
"1998",7.00,"British Trad Rock"
"1998",1.00,"Industrial Dance"
"1998",5.00,"Neo-Prog"
"1998",3.00,"Slowcore"
"1998",1.00,"Electro-Industrial"
"1998",4.00,"Ambient Pop"
"1998",15.00,"Indie Pop"
"1998",1.00,"Acid Jazz"
"1998",11.00,"Shibuya-Kei"
"1998",6.00,"Urban"
"1998",1.00,"Psychedelic Pop"
"1998",3.00,"Roots Rock"
"1998",6.00,"Country-Rock"
"1998",1.00,"Freakbeat"
"1998",1.00,"Lo-Fi"
"1998",1.00,"Grunge"
"1998",3.00,"New Romantic"
"1998",4.00,"Indie Rock"
"1998",2.00,"Neo-Glam"
"1998",1.00,"Paisley Underground"
"1998",15.00,"Alternative Metal"
"1998",1.00,"Sludge Metal"
"1998",1.00,"Proto-Punk"
"1998",6.00,"College Rock"
"1998",1.00,"Riot Grrrl"
"1998",17.00,"Indie Electronic"
"1998",3.00,"Space Rock"
"1998",8.00,"Garage/House"
"1998",3.00,"Dream Pop"
"1998",3.00,"Instrumental Rock"
"1998",9.00,"Industrial Metal"
"1998",1.00,"Punk"
"1998",2.00,"Christian Metal"
"1998",9.00,"Girl Group"
"1998",10.00,"Adult Contemporary"
"1998",46.00,"House"
"1998",1.00,"Mod Revival"
"1998",13.00,"Album Rock"
"1998",4.00,"Jam Bands"
"1998",1.00,"French Rock"
"1998",1.00,"Speed Metal"
"1998",8.00,"Garage Rock"
"1998",1.00,"Rock en EspaÃƒÂ±ol"
"1998",7.00,"American Trad Rock"
"1998",1.00,"Madchester"
"1998",3.00,"Ska-Punk"
"1998",5.00,"Chamber Pop"
"1998",5.00,"Twee Pop"
"1998",12.00,"Emo"
"1998",4.00,"Sadcore"
"1998",8.00,"Prog-Rock/Art Rock"
"1998",2.00,"Christian Punk"
"1998",5.00,"Sunshine Pop"
"1998",1.00,"Detroit Rock"
"1998",2.00,"Stoner Metal"
"1998",2.00,"Arena Rock"
"1998",10.00,"Scandinavian Metal"
"1998",2.00,"Power Metal"
"1998",1.00,"Celebrity"
"1998",10.00,"Post-Grunge"
"1998",2.00,"Third Wave Ska Revival"
"1998",1.00,"Mod"
"1998",4.00,"Avant-Prog"
"1998",4.00,"Neo-Psychedelia"
"1998",1.00,"American Underground"
"1998",1.00,"Freestyle"
"1998",6.00,"Disco"
"1998",10.00,"Alternative Dance"
"1998",4.00,"Synth Pop"
"1998",2.00,"Rap-Metal"
"1998",7.00,"Folk-Pop"
"1998",4.00,"Guitar Virtuoso"
"1998",6.00,"Progressive Metal"
"1998",2.00,"Christian Rock"
"1998",25.00,"Alternative Pop/Rock"
"1998",2.00,"British Psychedelia"
"1998",2.00,"Teen Pop"
"1998",8.00,"British Invasion"
"1998",5.00,"Pop-Metal"
"1998",3.00,"Power Pop"
"1998",18.00,"Death Metal/Black Metal"
"1998",2.00,"Surf"
"1998",8.00,"Dance-Pop"
"1998",1.00,"Grindcore"
"1998",1.00,"Psychobilly"
"1998",26.00,"Heavy Metal"
"1998",1.00,"Skatepunk"
"1999",3.00,"Country-Rock"
"1999",1.00,"Post-Punk"
"1999",3.00,"Freakbeat"
"1999",3.00,"Christian Punk"
"1999",2.00,"Kraut Rock"
"1999",8.00,"Post-Rock/Experimental"
"1999",1.00,"Neo-Glam"
"1999",3.00,"Acid Rock"
"1999",4.00,"Goth Metal"
"1999",1.00,"British Metal"
"1999",2.00,"Punk Revival"
"1999",5.00,"Neo-Psychedelia"
"1999",8.00,"Pop"
"1999",3.00,"Singer/Songwriter"
"1999",16.00,"Alternative Pop/Rock"
"1999",7.00,"Girl Group"
"1999",5.00,"British Psychedelia"
"1999",1.00,"Euro-Dance"
"1999",3.00,"Rap-Rock"
"1999",1.00,"Frat Rock"
"1999",2.00,"British Folk-Rock"
"1999",1.00,"Hot Rod Revival"
"1999",1.00,"Alternative Folk"
"1999",6.00,"Garage Rock"
"1999",8.00,"Folk-Rock"
"1999",14.00,"Pop/Rock"
"1999",4.00,"British Trad Rock"
"1999",2.00,"Neo-Prog"
"1999",2.00,"Ska-Punk"
"1999",5.00,"Chamber Pop"
"1999",5.00,"Electro-Industrial"
"1999",3.00,"Ambient Pop"
"1999",2.00,"Math Rock"
"1999",1.00,"Queercore"
"1999",1.00,"Japanese Rock"
"1999",7.00,"Shibuya-Kei"
"1999",1.00,"Sunshine Pop"
"1999",2.00,"Detroit Rock"
"1999",2.00,"Glitter"
"1999",3.00,"Hair Metal"
"1999",4.00,"Alternative Country-Rock"
"1999",16.00,"Alternative Metal"
"1999",1.00,"AM Pop"
"1999",1.00,"Bar Band"
"1999",7.00,"Post-Grunge"
"1999",1.00,"Riot Grrrl"
"1999",1.00,"Screamo"
"1999",12.00,"Garage/House"
"1999",11.00,"Adult Alternative Pop/Rock"
"1999",9.00,"Disco"
"1999",5.00,"Alternative Dance"
"1999",5.00,"Tex-Mex"
"1999",4.00,"Industrial Metal"
"1999",1.00,"Guitar Virtuoso"
"1999",3.00,"Swamp Pop"
"1999",2.00,"Bubblegum"
"1999",11.00,"Adult Contemporary"
"1999",3.00,"Pub Rock"
"1999",3.00,"Jam Bands"
"1999",7.00,"Soft Rock"
"1999",5.00,"Surf"
"1999",1.00,"Hi-NRG"
"1999",1.00,"Rock en EspaÃƒÂ±ol"
"1999",1.00,"Cowpunk"
"1999",1.00,"Foreign Language Rock"
"1999",3.00,"Twee Pop"
"1999",1.00,"Japanese Pop"
"1999",2.00,"Lo-Fi"
"1999",9.00,"Britpop"
"1999",3.00,"American Punk"
"1999",1.00,"Arena Rock"
"1999",6.00,"Proto-Punk"
"1999",6.00,"Power Metal"
"1999",3.00,"British Blues"
"1999",1.00,"Celebrity"
"1999",6.00,"College Rock"
"1999",2.00,"Mod"
"1999",3.00,"Avant-Prog"
"1999",1.00,"American Underground"
"1999",4.00,"Punk Blues"
"1999",1.00,"New Wave/Post-Punk Revival"
"1999",12.00,"Industrial"
"1999",1.00,"Freestyle"
"1999",4.00,"Instrumental Rock"
"1999",3.00,"Punk-Pop"
"1999",4.00,"Rockabilly"
"1999",2.00,"Folk-Pop"
"1999",4.00,"Surf Revival"
"1999",6.00,"Progressive Metal"
"1999",2.00,"Punk"
"1999",15.00,"Rock &amp; Roll"
"1999",1.00,"Christian Rock"
"1999",1.00,"Christian Metal"
"1999",3.00,"Brill Building Pop"
"1999",11.00,"Album Rock"
"1999",3.00,"New Wave"
"1999",9.00,"Death Metal/Black Metal"
"1999",5.00,"Goth Rock"
"1999",2.00,"Glam Rock"
"1999",3.00,"Industrial Dance"
"1999",2.00,"Slowcore"
"1999",1.00,"Baroque Pop"
"1999",18.00,"Indie Pop"
"1999",3.00,"Noise Pop"
"1999",6.00,"Blues-Rock"
"1999",9.00,"Acid Jazz"
"1999",1.00,"Psychedelic Pop"
"1999",1.00,"Skatepunk"
"1999",13.00,"Club/Dance"
"1999",1.00,"New York Punk"
"1999",2.00,"Grunge"
"1999",1.00,"Funk Metal"
"1999",2.00,"Obscuro"
"1999",8.00,"Stoner Metal"
"1999",13.00,"Scandinavian Metal"
"1999",4.00,"Doom Metal"
"1999",7.00,"Symphonic Black Metal"
"1999",1.00,"Post-Hardcore"
"1999",22.00,"Indie Electronic"
"1999",4.00,"Dream Pop"
"1999",3.00,"Synth Pop"
"1999",8.00,"Rap-Metal"
"1999",1.00,"Rockabilly Revival"
"1999",6.00,"Hard Rock"
"1999",1.00,"Southern Rock"
"1999",1.00,"Teen Idol"
"1999",39.00,"House"
"1999",6.00,"British Invasion"
"1999",9.00,"Psychedelic"
"1999",1.00,"Garage Punk"
"1999",2.00,"Pop-Metal"
"1999",1.00,"New Wave of British Heavy Metal"
"1999",12.00,"Dance-Pop"
"1999",1.00,"American Trad Rock"
"1999",1.00,"French Pop"
"1999",2.00,"Psychobilly"
"1999",15.00,"Experimental Rock"
"1999",6.00,"Emo"
"1999",2.00,"Sadcore"
"1999",26.00,"Heavy Metal"
"1999",13.00,"Urban"
"1999",14.00,"Prog-Rock/Art Rock"
"1999",1.00,"Swedish Pop/Rock"
"1999",8.00,"Teen Pop"
"199?",1.00,"Psychobilly"
"2000",1.00,"New York Punk"
"2000",1.00,"New Romantic"
"2000",1.00,"Neo-Glam"
"2000",4.00,"Symphonic Black Metal"
"2000",1.00,"Proto-Punk"
"2000",2.00,"AM Pop"
"2000",5.00,"Punk Revival"
"2000",4.00,"Neo-Psychedelia"
"2000",25.00,"Indie Electronic"
"2000",10.00,"Adult Alternative Pop/Rock"
"2000",6.00,"Disco"
"2000",2.00,"Alternative Dance"
"2000",2.00,"Rockabilly"
"2000",3.00,"Folk-Pop"
"2000",12.00,"Hard Rock"
"2000",2.00,"Hardcore Punk"
"2000",1.00,"Thrash"
"2000",2.00,"British Psychedelia"
"2000",4.00,"British Invasion"
"2000",1.00,"Hong Kong Pop"
"2000",8.00,"Soft Rock"
"2000",3.00,"British Folk-Rock"
"2000",6.00,"Death Metal/Black Metal"
"2000",1.00,"Surf"
"2000",2.00,"Euro-Pop"
"2000",5.00,"Garage Rock"
"2000",2.00,"Garage Rock Revival"
"2000",1.00,"Psychobilly"
"2000",4.00,"Experimental Rock"
"2000",2.00,"Chamber Pop"
"2000",3.00,"Slowcore"
"2000",20.00,"Indie Pop"
"2000",15.00,"Club/Dance"
"2000",2.00,"Kraut Rock"
"2000",4.00,"Britpop"
"2000",4.00,"Post-Rock/Experimental"
"2000",1.00,"Acid Rock"
"2000",5.00,"Stoner Metal"
"2000",7.00,"Scandinavian Metal"
"2000",1.00,"British Blues"
"2000",2.00,"American Underground"
"2000",1.00,"Surf Revival"
"2000",4.00,"Progressive Metal"
"2000",3.00,"Punk"
"2000",16.00,"Alternative Pop/Rock"
"2000",1.00,"Girl Group"
"2000",1.00,"Euro-Rock"
"2000",2.00,"Aussie Rock"
"2000",3.00,"Jam Bands"
"2000",7.00,"New Wave"
"2000",6.00,"Rap-Rock"
"2000",1.00,"Ska Revival"
"2000",1.00,"Glam Rock"
"2000",3.00,"American Trad Rock"
"2000",1.00,"Neo-Prog"
"2000",5.00,"Emo"
"2000",2.00,"Baroque Pop"
"2000",1.00,"Japanese Rock"
"2000",6.00,"Acid Jazz"
"2000",22.00,"Heavy Metal"
"2000",10.00,"Urban"
"2000",2.00,"Swedish Pop/Rock"
"2000",1.00,"Shoegaze"
"2000",1.00,"American Punk"
"2000",3.00,"Sunshine Pop"
"2000",2.00,"Funk Metal"
"2000",3.00,"Glitter"
"2000",2.00,"Hair Metal"
"2000",1.00,"Doom Metal"
"2000",11.00,"Alternative Metal"
"2000",7.00,"Post-Grunge"
"2000",3.00,"Pop Underground"
"2000",4.00,"Space Rock"
"2000",4.00,"Pop"
"2000",1.00,"Synth Pop"
"2000",8.00,"Rap-Metal"
"2000",1.00,"Rockabilly Revival"
"2000",2.00,"Singer/Songwriter"
"2000",1.00,"Christian Rock"
"2000",1.00,"Oi!"
"2000",3.00,"Rock &amp; Roll"
"2000",2.00,"Southern Rock"
"2000",1.00,"Teen Idol"
"2000",3.00,"Pub Rock"
"2000",3.00,"Euro-Dance"
"2000",6.00,"Post-Punk"
"2000",1.00,"Roots Rock"
"2000",10.00,"Teen Pop"
"2000",4.00,"Psychedelic"
"2000",4.00,"Garage Punk"
"2000",3.00,"Pop-Metal"
"2000",2.00,"Retro-Rock"
"2000",10.00,"Dance-Pop"
"2000",1.00,"French Pop"
"2000",3.00,"Ska-Punk"
"2000",3.00,"Twee Pop"
"2000",1.00,"Noise Pop"
"2000",2.00,"Sadcore"
"2000",5.00,"Country-Rock"
"2000",1.00,"Freakbeat"
"2000",3.00,"Christian Punk"
"2000",1.00,"Grunge"
"2000",1.00,"Straight-Edge"
"2000",3.00,"Detroit Rock"
"2000",1.00,"Arena Rock"
"2000",6.00,"Alternative Country-Rock"
"2000",2.00,"Sludge Metal"
"2000",1.00,"Power Metal"
"2000",2.00,"British Metal"
"2000",2.00,"Celebrity"
"2000",6.00,"College Rock"
"2000",3.00,"Boogie Rock"
"2000",2.00,"Avant-Prog"
"2000",2.00,"Mod"
"2000",1.00,"Riot Grrrl"
"2000",1.00,"Punk Blues"
"2000",1.00,"Screamo"
"2000",3.00,"New Wave/Post-Punk Revival"
"2000",14.00,"Garage/House"
"2000",8.00,"Industrial"
"2000",1.00,"Freestyle"
"2000",3.00,"Tex-Mex"
"2000",3.00,"Dream Pop"
"2000",3.00,"Industrial Metal"
"2000",4.00,"Punk-Pop"
"2000",3.00,"Guitar Virtuoso"
"2000",3.00,"Bubblegum"
"2000",12.00,"Adult Contemporary"
"2000",23.00,"House"
"2000",10.00,"Album Rock"
"2000",4.00,"Power Pop"
"2000",1.00,"Frat Rock"
"2000",6.00,"Goth Rock"
"2000",4.00,"Grindcore"
"2000",2.00,"Hi-NRG"
"2000",7.00,"Folk-Rock"
"2000",12.00,"Pop/Rock"
"2000",1.00,"British Trad Rock"
"2000",1.00,"Cowpunk"
"2000",2.00,"Asian Pop"
"2000",1.00,"Neo-Classical Metal"
"2000",1.00,"C-86"
"2000",3.00,"Blues-Rock"
"2000",2.00,"Shibuya-Kei"
"2000",4.00,"Psychedelic Pop"
"2000",5.00,"Prog-Rock/Art Rock"
"2001",1.00,"Funk Metal"
"2001",1.00,"Anarchist Punk"
"2001",1.00,"Paisley Underground"
"2001",2.00,"Stoner Metal"
"2001",2.00,"British Metal"
"2001",1.00,"AM Pop"
"2001",2.00,"British Blues"
"2001",4.00,"Post-Grunge"
"2001",1.00,"Avant-Prog"
"2001",3.00,"Punk Blues"
"2001",3.00,"Garage/House"
"2001",2.00,"Disco"
"2001",8.00,"Alternative Dance"
"2001",1.00,"Industrial Metal"
"2001",1.00,"Comedy Rock"
"2001",8.00,"Punk"
"2001",1.00,"Christian Rock"
"2001",9.00,"Hard Rock"
"2001",6.00,"Bubblegum"
"2001",3.00,"Teen Idol"
"2001",5.00,"Pub Rock"
"2001",3.00,"Brill Building Pop"
"2001",1.00,"Mod Revival"
"2001",12.00,"Album Rock"
"2001",1.00,"Aussie Rock"
"2001",10.00,"New Wave"
"2001",3.00,"Pop-Metal"
"2001",1.00,"British Folk-Rock"
"2001",1.00,"Grindcore"
"2001",8.00,"Dance-Pop"
"2001",2.00,"British Trad Rock"
"2001",1.00,"Experimental Rock"
"2001",1.00,"Noise Pop"
"2001",2.00,"Sadcore"
"2001",4.00,"Prog-Rock/Art Rock"
"2001",1.00,"Freakbeat"
"2001",3.00,"Shoegaze"
"2001",7.00,"American Punk"
"2001",1.00,"Acid Rock"
"2001",1.00,"Arena Rock"
"2001",4.00,"Alternative Country-Rock"
"2001",6.00,"College Rock"
"2001",1.00,"Mod"
"2001",4.00,"American Underground"
"2001",1.00,"Space Rock"
"2001",28.00,"Indie Electronic"
"2001",4.00,"Adult Alternative Pop/Rock"
"2001",1.00,"Tex-Mex"
"2001",5.00,"Dream Pop"
"2001",3.00,"Instrumental Rock"
"2001",1.00,"Synth Pop"
"2001",3.00,"Punk-Pop"
"2001",1.00,"Rockabilly Revival"
"2001",1.00,"Folk-Pop"
"2001",3.00,"Rock &amp; Roll"
"2001",8.00,"Adult Contemporary"
"2001",7.00,"House"
"2001",2.00,"Teen Pop"
"2001",1.00,"Roots Rock"
"2001",1.00,"Heartland Rock"
"2001",8.00,"Soft Rock"
"2001",1.00,"Rap-Rock"
"2001",12.00,"Pop/Rock"
"2001",1.00,"French Pop"
"2001",1.00,"Psychobilly"
"2001",9.00,"Heavy Metal"
"2001",1.00,"Shibuya-Kei"
"2001",1.00,"Swedish Pop/Rock"
"2001",2.00,"Club/Dance"
"2001",6.00,"New York Punk"
"2001",3.00,"L.A. Punk"
"2001",3.00,"Britpop"
"2001",1.00,"Sunshine Pop"
"2001",1.00,"New Romantic"
"2001",2.00,"Hair Metal"
"2001",3.00,"Symphonic Black Metal"
"2001",2.00,"Sludge Metal"
"2001",1.00,"Punk Revival"
"2001",1.00,"Alternative Singer/Songwriter"
"2001",1.00,"Industrial"
"2001",2.00,"Noise-Rock"
"2001",2.00,"Rockabilly"
"2001",4.00,"Singer/Songwriter"
"2001",10.00,"Alternative Pop/Rock"
"2001",1.00,"Hardcore Punk"
"2001",1.00,"Thrash"
"2001",3.00,"Post-Punk"
"2001",2.00,"Psychedelic"
"2001",3.00,"Death Metal/Black Metal"
"2001",1.00,"Alternative Folk"
"2001",2.00,"Goth Rock"
"2001",1.00,"Merseybeat"
"2001",1.00,"Hi-NRG"
"2001",6.00,"Folk-Rock"
"2001",1.00,"American Trad Rock"
"2001",1.00,"Industrial Dance"
"2001",1.00,"Chamber Pop"
"2001",1.00,"Emo"
"2001",2.00,"Baroque Pop"
"2001",5.00,"Indie Pop"
"2001",1.00,"Blues-Rock"
"2001",4.00,"Urban"
"2001",3.00,"Psychedelic Pop"
"2001",4.00,"Country-Rock"
"2001",2.00,"Post-Rock/Experimental"
"2001",1.00,"Indie Rock"
"2001",1.00,"Neo-Glam"
"2001",2.00,"Scandinavian Metal"
"2001",5.00,"Alternative Metal"
"2001",1.00,"Proto-Punk"
"2001",2.00,"Pop"
"2001",1.00,"Screamo"
"2001",5.00,"New Wave/Post-Punk Revival"
"2001",3.00,"Progressive Metal"
"2001",4.00,"Girl Group"
"2001",3.00,"British Psychedelia"
"2001",2.00,"British Invasion"
"2001",1.00,"Retro-Rock"
"2001",3.00,"New Wave of British Heavy Metal"
"2001",1.00,"Speed Metal"
"2001",1.00,"Slowcore"
"2001",3.00,"Acid Jazz"
"2002",1.00,"Canterbury Scene"
"2002",2.00,"Post-Punk"
"2002",1.00,"New Romantic"
"2002",1.00,"Indie Rock"
"2002",1.00,"Proto-Punk"
"2002",2.00,"Power Metal"
"2002",1.00,"British Metal"
"2002",25.00,"Indie Electronic"
"2002",2.00,"Screamo"
"2002",3.00,"Hard Rock"
"2002",1.00,"Pub Rock"
"2002",1.00,"House"
"2002",5.00,"Album Rock"
"2002",1.00,"Aussie Rock"
"2002",3.00,"New Wave"
"2002",1.00,"New Wave of British Heavy Metal"
"2002",1.00,"Baroque Pop"
"2002",3.00,"Prog-Rock/Art Rock"
"2002",3.00,"Scandinavian Metal"
"2002",1.00,"Symphonic Black Metal"
"2002",1.00,"Sludge Metal"
"2002",1.00,"Neo-Psychedelia"
"2002",1.00,"Oi!"
"2002",2.00,"Adult Contemporary"
"2002",2.00,"Dance-Pop"
"2002",1.00,"British Trad Rock"
"2002",1.00,"Experimental Rock"
"2002",6.00,"Heavy Metal"
"2002",1.00,"Sunshine Pop"
"2002",1.00,"Doom Metal"
"2002",1.00,"Alternative Country-Rock"
"2002",2.00,"College Rock"
"2002",1.00,"Punk Blues"
"2002",5.00,"New Wave/Post-Punk Revival"
"2002",1.00,"Garage/House"
"2002",2.00,"Singer/Songwriter"
"2002",1.00,"Guitar Virtuoso"
"2002",2.00,"Punk"
"2002",2.00,"Progressive Metal"
"2002",1.00,"Swamp Pop"
"2002",2.00,"Rock &amp; Roll"
"2002",2.00,"Alternative Pop/Rock"
"2002",1.00,"Teen Idol"
"2002",1.00,"Psychedelic"
"2002",2.00,"Soft Rock"
"2002",2.00,"Death Metal/Black Metal"
"2002",2.00,"Ska Revival"
"2002",1.00,"Glam Rock"
"2002",2.00,"Garage Rock"
"2002",1.00,"Latin Dance"
"2002",2.00,"Urban"
"2002",1.00,"Club/Dance"
"2002",1.00,"Shoegaze"
"2002",1.00,"Sophisti-Pop"
"2002",1.00,"Dream Pop"
"2002",1.00,"Power Pop"
"2002",3.00,"Folk-Rock"
"2002",5.00,"Pop/Rock"
"2002",1.00,"Noise Pop"
"2002",3.00,"Roots Rock"
"2003",1.00,"New Romantic"
"2003",2.00,"Scandinavian Metal"
"2003",2.00,"Symphonic Black Metal"
"2003",1.00,"Power Metal"
"2003",1.00,"Proto-Punk"
"2003",1.00,"British Metal"
"2003",4.00,"Punk Blues"
"2003",4.00,"New Wave/Post-Punk Revival"
"2003",1.00,"Thrash"
"2003",3.00,"Adult Contemporary"
"2003",2.00,"British Psychedelia"
"2003",3.00,"Post-Punk"
"2003",1.00,"Alternative Folk"
"2003",1.00,"Dance-Pop"
"2003",1.00,"Hi-NRG"
"2003",4.00,"Folk-Rock"
"2003",7.00,"Pop/Rock"
"2003",1.00,"Experimental Rock"
"2003",3.00,"Country-Rock"
"2003",3.00,"Hair Metal"
"2003",1.00,"Arena Rock"
"2003",6.00,"College Rock"
"2003",1.00,"Punk"
"2003",1.00,"British Folk-Rock"
"2003",3.00,"Death Metal/Black Metal"
"2003",1.00,"Goth Rock"
"2003",1.00,"Euro-Pop"
"2003",1.00,"Noise Pop"
"2003",1.00,"Blues-Rock"
"2003",10.00,"Heavy Metal"
"2003",3.00,"Urban"
"2003",1.00,"Indie Rock"
"2003",2.00,"Alternative Country-Rock"
"2003",2.00,"Doom Metal"
"2003",2.00,"Neo-Psychedelia"
"2003",4.00,"Progressive Metal"
"2003",1.00,"Southern Rock"
"2003",1.00,"Canterbury Scene"
"2003",2.00,"British Invasion"
"2003",7.00,"Psychedelic"
"2003",12.00,"Album Rock"
"2003",1.00,"Aussie Rock"
"2003",5.00,"New Wave"
"2003",1.00,"Glam Rock"
"2003",1.00,"Indie Pop"
"2003",1.00,"Acid Rock"
"2003",2.00,"Goth Metal"
"2003",17.00,"Indie Electronic"
"2003",1.00,"Disco"
"2003",2.00,"Singer/Songwriter"
"2003",7.00,"Hard Rock"
"2003",6.00,"Alternative Pop/Rock"
"2003",1.00,"Teen Idol"
"2003",1.00,"House"
"2003",1.00,"Euro-Dance"
"2003",5.00,"Soft Rock"
"2003",5.00,"Pop-Metal"
"2003",1.00,"Speed Metal"
"2003",10.00,"Prog-Rock/Art Rock"
"2003",1.00,"Swedish Pop/Rock"
"2004",1.00,"American Underground"
"2004",1.00,"Indie Electronic"
"2004",1.00,"Industrial"
"2004",1.00,"Folk-Pop"
"2004",4.00,"Singer/Songwriter"
"2004",1.00,"Rock &amp; Roll"
"2004",3.00,"Alternative Pop/Rock"
"2004",2.00,"Adult Contemporary"
"2004",1.00,"Grindcore"
"2004",2.00,"American Trad Rock"
"2004",1.00,"French Pop"
"2004",1.00,"Psychedelic Pop"
"2004",1.00,"No Wave"
"2004",1.00,"Jangle Pop"
"2004",3.00,"Scandinavian Metal"
"2004",1.00,"Sludge Metal"
"2004",3.00,"College Rock"
"2004",1.00,"Space Rock"
"2004",1.00,"Punk Blues"
"2004",11.00,"New Wave/Post-Punk Revival"
"2004",2.00,"Progressive Metal"
"2004",1.00,"Punk"
"2004",1.00,"Hard Rock"
"2004",3.00,"Pop/Rock"
"2004",1.00,"Chamber Pop"
"2004",1.00,"Urban"
"2004",1.00,"Symphonic Black Metal"
"2004",1.00,"British Blues"
"2004",1.00,"Screamo"
"2004",1.00,"Punk-Pop"
"2004",1.00,"British Psychedelia"
"2004",1.00,"Aussie Rock"
"2004",1.00,"Glam Rock"
"2004",1.00,"Speed Metal"
"2004",1.00,"Proto-Punk"
"2004",1.00,"British Metal"
"2004",1.00,"Pop"
"2004",3.00,"Thrash"
"2004",2.00,"British Invasion"
"2004",3.00,"Album Rock"
"2004",1.00,"Heartland Rock"
"2004",1.00,"New Wave"
"2004",1.00,"Soft Rock"
"2004",6.00,"Death Metal/Black Metal"
"2004",1.00,"Alternative Folk"
"2004",1.00,"New Wave of British Heavy Metal"
"2004",1.00,"Merseybeat"
"2004",1.00,"Folk-Rock"
"2004",1.00,"Latin Dance"
"2004",1.00,"Industrial Dance"
"2004",1.00,"Blues-Rock"
"2004",8.00,"Heavy Metal"
"2004",2.00,"Prog-Rock/Art Rock"
"2005",1.00,"Shoegaze"
"2005",1.00,"College Rock"
"2005",2.00,"Indie Electronic"
"2005",1.00,"Adult Alternative Pop/Rock"
"2005",2.00,"Dream Pop"
"2005",2.00,"Synth Pop"
